word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
org,1.0,0.06478698841625592,0.0
exchange,0.26669010544351546,0.00522384942731969,0.0
message,0.22880130731587883,0.01506674149215254,0.0
file,0.2010800036475073,0.006416182716286147,0.0
using,0.16110077620651744,0.0069651325697595865,0.0
route,0.15973626604804433,0.008020228395357683,0.0
exception,0.1583088999494012,0.00522384942731969,0.0
endpoint,0.14285110115647723,0.010546719044506776,0.009173179629092901
component,0.1371695945884046,0.009040044895291524,0.01112830682609863
null,0.13586715331504634,0.005927676406993617,0.0
method,0.13319063037811626,0.003951784271329078,0.0
header,0.12011226643370683,0.01506674149215254,0.0
http,0.11812429758174707,0.012324930172622046,0.0
see,0.09922517534319576,0.0034825662848797932,0.0
like,0.0931501100436932,0.003951784271329078,0.0
also,0.09197869170053988,0.006026696596861015,0.007567230251644672
error,0.09108691356327038,0.0069651325697595865,0.005716925395765785
support,0.09061531860837402,0.00522384942731969,0.0
jms,0.0898939884148786,0.003951784271329078,0.0
public,0.08459182603831346,0.003951784271329078,0.003565650253678629
messages,0.07782054937616388,0.008706415712199484,0.005716925395765785
would,0.07003849443854748,0.012832365432572294,0.002377100169119086
void,0.06812932662645206,0.003951784271329078,0.0
test,0.06668241359470722,0.003951784271329078,0.0
uri,0.0658884037116238,0.00481213703721461,0.00315393786357355
headers,0.0642324559749012,0.00522384942731969,0.0014231590777841856
one,0.06395099441110473,0.00522384942731969,0.0
issue,0.0626394274500505,0.006026696596861015,0.002377100169119086
consumer,0.05929956334046143,0.0034825662848797932,0.0
connection,0.05123615423863614,0.003951784271329078,0.0
handler,0.049265532921765505,0.003951784271329078,0.005270483190615895
files,0.0485547605087862,0.008020228395357683,0.0014231590777841856
instrumentationprocessor,0.04652068208637138,0.005927676406993617,0.0
processing,0.045834596337556516,0.00522384942731969,0.003565650253678629
helper,0.044775499518698005,0.005927676406993617,0.0014231590777841856
server,0.04383433813891351,0.0034825662848797932,0.0014231590777841856
fails,0.04259381900935412,0.003951784271329078,0.0014231590777841856
data,0.04033444477704974,0.003951784271329078,0.0
last,0.03575456263428952,0.003951784271329078,0.0042052504847647325
ftp,0.035471183703671166,0.0069651325697595865,0.0014231590777841856
template,0.035471183703671166,0.005927676406993617,0.002377100169119086
producercache,0.03528368496152421,0.011855352813987235,0.0
apache,0.03350056238680055,0.005927676406993617,0.0
delegateprocessor,0.033078454651428946,0.005927676406993617,0.0
something,0.03223835965346256,0.003951784271329078,0.002377100169119086
wrong,0.031167525509538434,0.003951784271329078,0.0014231590777841856
copy,0.030542577275752197,0.003951784271329078,0.0014231590777841856
false,0.030094239143861924,0.003951784271329078,0.0014231590777841856
remove,0.029334141656036174,0.003951784271329078,0.00315393786357355
redeliveryerrorhandler,0.02866799403123842,0.005927676406993617,0.0
stop,0.027588698436188684,0.0034825662848797932,0.003815764365339601
else,0.026724755116283173,0.005927676406993617,0.0014231590777841856
sendprocessor,0.02509613773066344,0.005927676406993617,0.0
protected,0.023647455802447443,0.007903568542658156,0.0
seda,0.02300479291977482,0.003951784271329078,0.0
jetty,0.02300479291977482,0.0034825662848797932,0.0014231590777841856
static,0.02143520072959155,0.0069651325697595865,0.0014231590777841856
defaultproducertemplate,0.02140316159565418,0.011855352813987235,0.0
custom,0.019706213168706205,0.003951784271329078,0.004392069325513245
provide,0.01841533688792585,0.0034825662848797932,0.008409812024856066
means,0.01714816058367324,0.0034825662848797932,0.0
results,0.016369188344822976,0.003951784271329078,0.0
redelivery,0.0159653027542926,0.005927676406993617,0.0
receive,0.01543661217066684,0.003951784271329078,0.002377100169119086
source,0.015004640510714085,0.003951784271329078,0.0
exists,0.015004640510714085,0.003951784271329078,0.0
pass,0.015004640510714085,0.0034825662848797932,0.0014231590777841856
content,0.013684545217965085,0.003951784271329078,0.0
ignores,0.01323138186057158,0.003951784271329078,0.0
defaulterrorhandler,0.01323138186057158,0.0034825662848797932,0.0
consuming,0.01286112043775493,0.003951784271329078,0.0
sent,0.01286112043775493,0.0034825662848797932,0.002377100169119086
lets,0.011026151550476315,0.003951784271329078,0.0
login,0.010061466118208628,0.00522384942731969,0.0
port,0.007546099588656471,0.0069651325697595865,0.010231714941591377
token,0.007546099588656471,0.003951784271329078,0.0
mockendpoint,0.007134387198551393,0.005927676406993617,0.0
expose,0.007134387198551393,0.0034825662848797932,0.0
randomly,0.005030733059104314,0.003951784271329078,0.0
license,0.0027499755227767997,0.007903568542658156,0.0
bundles,0.0027499755227767997,0.005927676406993617,0.0
opened,0.0027499755227767997,0.003951784271329078,0.0
servers,0.0027499755227767997,0.003951784271329078,0.0
concatenated,0.0027499755227767997,0.003951784271329078,0.0
raised,0.0027499755227767997,0.003951784271329078,0.0
underlying,0.0027499755227767997,0.003951784271329078,0.0
expectedbody,0.0,0.009879460678322695,0.0
resultendpoint,0.0,0.009879460678322695,0.0
auth,0.0,0.005927676406993617,0.0
inoptionalout,0.0,0.005927676406993617,0.0
http_path,0.0,0.005927676406993617,0.0
gotten,0.0,0.003951784271329078,0.0
sftpendpoint,0.0,0.003951784271329078,0.0
tempfilename,0.0,0.003951784271329078,0.0
memory,0.0,0.003951784271329078,0.0
heap,0.0,0.003951784271329078,0.0
delegate,0.0,0.003951784271329078,0.0
tempprefix,0.0,0.003951784271329078,0.0
http_uri,0.0,0.003951784271329078,0.0
ssh,0.0,0.003951784271329078,0.0
