word,NSBRs tf-idf,SBRs tf-idf,FARSEC tf-idf
const,1.0,0.39454133086742327,0.38845138527434087
int,0.9426528779942055,0.3939101474523368,0.38845138527434087
chrome,0.9094790757858822,0.4016986248540875,0.38845138527434087
tab,0.8045674702246626,0.39115513888769016,0.0997485763309319
page,0.8006935280981498,0.39327000355769937,0.0
std,0.7967929385489266,0.3940043942867252,0.3707921911804531
base,0.7561677003855274,0.390014899938064,0.38845138527434087
window,0.7556383190617444,0.39157249574422576,0.19633011943348583
line,0.7018148171624098,0.39442000771799296,0.3098981348054758
crash,0.6838266724456743,0.3908361733174,0.38845138527434087
version,0.6836433411590693,0.3908048663271455,0.2275194436431476
ok,0.6828651748129624,0.39043415825813516,0.38845138527434087
open,0.6787998991098992,0.391504525307133,0.18296932696100646
new,0.677501275924427,0.3898334394322335,0.38845138527434087
browser,0.6635544262321571,0.39138709684433326,0.2328100728961492
click,0.6617235137078737,0.39092226439633304,0.17162742994355665
bool,0.6592286909421673,0.38980361225668037,0.38845138527434087
windows,0.654369776241593,0.3919443250140641,0.34972128397777275
file,0.6377236491224965,0.3940214588356928,0.33891634609134336
link,0.6206291902387296,0.3902088251230179,0.38845138527434087
button,0.6112563284658811,0.38980361225668037,0.30232899367889354
build,0.6082878364363123,0.3898676516913368,0.38845138527434087
url,0.6079490988820231,0.39167193829396824,0.295794539465904
see,0.6035599803263144,0.39088829245743234,0.29619288719484366
download,0.6002144204742541,0.39074957584568776,0.3550632891489545
please,0.5957049344079902,0.3901130054851691,0.38845138527434087
http,0.5922841256838526,0.3911011497666288,0.06966120222959425
firefox,0.5819491297661155,0.38988189423970476,0.38845138527434087
unsigned,0.5765587153535676,0.3906348901455392,0.3880598824829233
ie,0.5692139014700731,0.3902480556796012,0.38845138527434087
user,0.5653926083718802,0.3929136668607293,0.38068299509371123
like,0.5622285258712523,0.3910670296522455,0.3657736626141843
one,0.5615406327640361,0.39024082242446356,0.3174091078150036
ipc,0.560296429723931,0.3905576990376591,0.38409267068763236
expected,0.5602377258870812,0.3898032620810155,0.38845138527434087
bytes,0.5598698660010879,0.3934299450785475,0.38893034960577916
use,0.5383434636910682,0.3900736374423504,0.18417073857223298
close,0.5382222473727579,0.39005272300312555,0.362599753965183
void,0.5364202047320624,0.389921403649611,0.38845138527434087
get,0.5344542793470904,0.3902480556796012,0.27351489030445636
using,0.5326889371806723,0.3901130054851691,0.3606012307077534
site,0.5325468034031344,0.3914237084310507,0.35355139592688795
time,0.5294655060036583,0.39029253161643557,0.38845138527434087
safari,0.5292565853472256,0.3903862610953905,0.36728542190322866
issue,0.5285847627726368,0.39100772406023043,0.38845138527434087
views,0.5236669998989996,0.3905576990376591,0.39005945845643103
back,0.5188436739386524,0.3897580682745809,0.38845138527434087
urls,0.5183537743295381,0.3902088251230179,0.37965939491465783
would,0.5140242655007016,0.3905321255875975,0.38390878027482916
tests,0.5123699418093027,0.390150904974736,0.38845138527434087
browsers,0.509582865726614,0.3905321255875975,0.3796791180544389
web,0.5093543553060009,0.390624273242347,0.38845138527434087
first,0.508729788673715,0.3897615706888011,0.37381866603742797
run,0.5072083554243678,0.3897615706888011,0.20923907331930525
bug,0.5061140985975779,0.3905894098962773,0.35218539941112725
data,0.5041202061898397,0.390150904974736,0.37515479173449556
also,0.5019945346666095,0.38988189423970476,0.38096332116220727
net,0.4984774788325457,0.38998324982948135,0.3668408989958852
code,0.4977990602012481,0.39087990712093595,0.38845138527434087
make,0.49716407056712814,0.3899716448480227,0.37306762967239915
attached,0.4914742744229276,0.3898032620810155,0.37694234742832716
content,0.4912977565392674,0.39107728817433673,0.378076910095622
release,0.47648112842967844,0.39005272300312555,0.37578764290977656
drag,0.4751814456508768,0.3897580682745809,0.38508239060382504
password,0.4716609633630399,0.3903438753174501,0.38935710538559704
may,0.4714867519236725,0.3902088251230179,0.3845090440169996
google,0.46812877142557,0.3970853375145502,0.38845138527434087
something,0.4679685128469936,0.38993844976168296,0.38639030790379053
javascript,0.4676951779739069,0.39040460202660904,0.38701253174029665
view,0.4651545313942843,0.39008473902464097,0.3178011556515845
used,0.4634464154035887,0.38993844976168296,0.38517519219734003
example,0.46334003900831205,0.3901041071416447,0.38847718110125073
sure,0.4630055783678296,0.3898334394322335,0.38585094702986666
chromium,0.4627786316505433,0.3955011260943283,0.38845138527434087
ca,0.4621480476220415,0.38980361225668037,0.38845138527434087
found,0.46067963433586095,0.3898676516913368,0.3851659299688038
ntdll,0.4601730317765942,0.3906348901455392,0.3898345369889914
memory,0.4600115147287435,0.3912903265683576,0.3886094229327992
proxy,0.4568855809954834,0.39017473289887394,0.3870941836001137
seems,0.45599977708173817,0.3902088251230179,0.3888196558640727
project,0.45498449114772194,0.39478823095522847,0.38845138527434087
hosting,0.45473268501213093,0.39478823095522847,0.38845138527434087
source,0.4525973575528244,0.3901886237895888,0.3332925274868637
function,0.44861076777025494,0.390173732194328,0.3823346102254934
access,0.44729434885471625,0.3898334394322335,0.38742248030902593
certificate,0.4345035544557629,0.390248074399671,0.3886364169089252
users,0.43436957515733543,0.3899087557450992,0.38899118173868935
refresh,0.4315187396304068,0.3905360714926384,0.3891749556318825
ssl,0.43075530345485114,0.39016699624456813,0.38940946888534844
alert,0.4271674250849842,0.38990714684596334,0.3889372020922545
security,0.42660998154365604,0.393268184658062,0.3893898918455235
header,0.41921939888881093,0.390248074399671,0.38957954946274015
https,0.41862346706940323,0.38980361225668037,0.3893304735105675
versions,0.4129939525936315,0.38980361225668037,0.3891464798078198
mixed,0.39717424518201616,0.389921403649611,0.3887822103798207
corruption,0.3960144843404605,0.3903438753174501,0.38845138527434087
vulnerability,0.3921908050194068,0.3910006648249335,0.38845138527434087
malicious,0.3909980202779728,0.3902088251230179,0.38845138527434087
exploit,0.3895430127916762,0.3900110316109111,0.38845138527434087
attacker,0.38934755605290855,0.3905244665111798,0.38845138527434087
